title|artist|year|location|duration|tempo|loudness|artist_hotness|song_hotness
Sleuthing|Danny Elfman|2002|Los Angeles, California|140.87791|86.901|-22.435|0.55|0.38
Meet Me in the City|Junior Kimbrough|1997|Hudsonville, MS|190.06649|129.584|-14.023|0.43|0.62
Drama  (LP Version)|Liquid Gang|0||226.0371|143.963|-4.945|0.33|0.26
Oh What A Feeling|Everly Brothers|0|Tennessee|125.02159|82.461|-15.036|0.46|0.35
So hell mit Klause Duo|Flowin Immo et Les Freaqz|2009||225.59302|83.321|-7.486|0.26|0.0
Concerto For Saxophone (Quartet Version): Movement IV|Philip Glass|0|Baltimore, MD|231.10485|176.122|-14.383|0.47|nan
Llama y Verás|Luis Alberto Spinetta|2001|Buenos Aires, Argentina|209.47546|196.52|-16.079|0.44|nan
Heyya Heyya|Ramy Ayach|0||239.80363|88.015|-5.942|0.32|nan
Misty Valley|Frank Chacksfield & His Orchestra|2001||155.37587|151.195|-19.61|0.33|nan
Sehnsuchtsexpress|Frl.Menke|0||217.20771|90.954|-11.016|0.31|nan
Come Alive|Agnostic Front|2007|New York, NY|122.17424|185.453|-5.218|0.5|0.7
Spitting Games|Snow Patrol|2003|Dundee, Scotland|229.642|74.576|-14.848|0.67|nan
Drones|Rise Against|2006|Chicago|181.57669|209.141|-3.696|0.7|nan
Do Your Will (Album Version)|The Rance Allen Group|0|Detroit, MI|337.162|105.994|-4.152|0.31|0.37
Check the bomb|Refractory|0||358.89587|123.96|-5.613|0.44|0.0
System of Play|Theodor Zox|0||381.23057|83.991|-11.941|0.34|0.0
Trying To Get To Heaven|Bob Dylan|1997|Duluth, MN|320.70485|94.161|-14.089|0.63|nan
Birch|Maximilian Hecker|2005||370.02404|243.981|-13.538|0.44|nan
Same Old Thing|Albert Collins|1993|Leona, Texas|356.25751|94.557|-11.893|0.4|0.43
Voodoo Doll|Fergie|0|Hacienda Heights, CA|263.05261|129.997|-6.502|0.56|0.67
Nerio Compra Una Contestadora|Los Amigos Invisibles|1998|Venezuela|24.34567|142.453|-21.978|0.37|nan
Killer (Single Version)|Seal|0|Paddington, London, England|257.48853|117.988|-7.762|0.58|0.22
Sunset Manifesto|Flink|0||160.91383|147.934|-6.103|0.36|0.0
From My Hands|Salt The Wound|2009||241.162|174.424|-5.056|0.45|0.64
Tanz|ZENFU|0||130.71628|143.126|-4.689|0.0|nan
Coming Back For More feat. Colin Corvez|Daniel Paul|0|Hawaii|323.60444|120.04|-11.556|0.35|nan
Paradise In Your Eyes|Winston Reedy|0||268.61669|130.812|-7.097|0.29|nan
Isku Pitkästä Ilosta|Korpiklaani|2009||250.8273|99.995|-4.535|0.52|0.64
The Way I Am|Eminem|2000|St. Joseph, MO|291.10812|174.731|-3.353|0.8|nan
One More Ride (Digitally Remastered)|Johnny Cash|0|Kingsland, AR|120.99873|110.43|-12.308|0.74|nan
Can't Help Falling In Love|Brian Dullaghan|0||190.56281|90.255|-15.892|0.15|nan
Drunk Driving Tip|Dezz White|0||44.93016|59.021|-15.497|0.26|0.0
Que Vuelvas|Shakira|1998|Barranquilla, Colombia|231.75791|123.861|-7.174|0.72|nan
I'm In The Mood For Love|Roger Williams|0|Omaha, NE|170.81424|100.366|-15.383|0.42|nan
Yesterdays|Gonzalo Rubalcaba|0|Havana, Cuba|483.39546|70.256|-33.045|0.35|0.33
Concertino for Bass Trombone and Trombone Choir|David Taylor|0|Virginia|600.11057|144.252|-22.54|0.29|nan
De Tha Mai Edo|Domna Kountouri|0||209.94567|99.98|-8.318|0.17|0.3
Rachel's retribution|Anne Dudley|2006||280.86812|118.326|-15.428|0.35|nan
A Goodnight's Sleep|The Starting Line|2002|Philadelphia, PA|264.41098|142.069|-5.011|0.54|0.65
Mui Mal_ Animal|L.A.V.I|0||565.96853|0.0|-11.531|0.29|nan
Cup Horn|TEN MADISON|2006||344.68526|190.038|-8.627|0.35|0.36
Am I That Easy To Forget|Carl Belew|1959|Salina, OK|140.38159|117.867|-13.338|0.26|nan
Vitamina|Sonora Carruseles|1999||230.00771|108.292|-6.564|0.37|0.38
The Haunting|The Misfits|1997|New Jersey|85.9424|212.293|-5.542|0.55|0.65
All or Nothin' Gal|Jessie Lee Miller|2005|Texas|116.92363|188.979|-7.391|0.0|0.0
Some Kind Of Zombie (Criscoteque Remix)|Audio Adrenaline|1997||279.97995|108.351|-5.934|0.52|nan
A Veces Hablo De Ti|Tito Allen|0||322.21995|183.636|-14.305|0.25|nan
Old Fashioned Baby|Pee Wee Crayton|0|Rockdale, TX|163.10812|116.461|-10.446|0.31|0.0
Just Say Yes|Dickies|0||152.94649|104.231|-9.428|0.43|0.46
Faithkeeper_ Part 1|David & Steve Gordon|0|California|532.27057|131.991|-18.799|0.19|0.0
Children Of Love|Abijah|2003|Jamaica|204.77342|81.025|-18.818|0.3|nan
Afro Profondo|Daniela Dessì|0|Genova|178.75546|179.998|-9.638|0.0|nan
Lihava enkeli|Murskahumppa|0||163.47383|136.579|-8.997|0.27|nan
Killing Me Softly With His Song|CoCo Lee|0||310.54322|100.82|-8.933|0.22|nan
Girl You Need My Love|Doniki|0||256.20853|175.202|-17.266|0.25|nan
Love Theme (The Falling In Love)|Burt Bacharach|0||98.32444|66.882|-17.806|0.47|nan
Roller Derby|Leon Russell|0|Lawton, OK|145.55383|120.427|-12.824|0.44|0.48
Are You Ever Gonna Love Me?|Jimmy Wayne|0||232.64608|142.409|-6.349|0.5|nan
Turn Up The Bass|Fast Eddie featuring Kool Rock|0||271.3073|125.86|-8.902|0.43|nan
So deep|Ann Lee|2000|United States|380.08118|131.999|-7.804|0.35|nan
Collecting Dust|Life Long Tragedy|2008||204.9824|86.435|-6.024|0.38|0.71
You Had Me From Hello (Lullaby Rendition of Kenny Chesney)|Hushabye Baby|0||223.45098|69.995|-18.798|0.37|nan
Nothing's Clear (Album Version)|Ill Nino|0|Nueva Jersey (Estados Unidos)|202.13506|109.441|-3.778|0.58|0.23
You Must Do Your Best Tonight / I Represent/Animal Crackers|The Marx Brothers|0|New York City, New York|116.37506|60.778|-14.639|0.38|0.0
French Suite: A Paris Thing|William Goldstein|0||276.50567|89.102|-28.215|0.27|nan
Oh Scat Mix Up|Tim Exile|2006||78.21016|124.429|-3.716|0.3|0.47
The Modern World|The Jam|1977|Woking, Surrey, England|150.59546|159.849|-8.812|0.55|nan
I'm Not A Loser|Descendents|1982|Los Angeles, CA|89.23383|203.29|-8.867|0.48|nan
De Paris Un Caballero|Barbarito Diez|0||157.962|65.914|-7.807|0.27|nan
T-Ball and Indian Guides (LP Version)|Bill Engvall|1998|Galveston, TX|482.21995|112.964|-11.689|0.45|0.22
La Rue Du Babouin|Françoise Hardy - Maurane|0||194.24608|105.156|-16.904|0.37|0.52
Big Bounce|David Arkenstone|2009|Tennessee|272.97914|108.014|-12.958|0.43|0.33
Summer Summer|The Almost|2009|Salt Lake City, UT|240.79628|136.147|-5.353|0.58|0.64
Bubblin' (Anita Demo)|Camp Lo|0|New York, NY [Bronx]|222.40608|196.45|-11.502|0.46|0.0
Couldn't Stand The Weather|Stevie Ray Vaughan And Double Trouble|1985|Dallas, TX|281.05098|121.616|-9.882|0.54|nan
In Style|David Johansen|1979|Staten Island, NY|247.97995|87.373|-7.436|0.31|0.0
Closin' Moes|Jeff Massanari Trio|0||253.85751|183.801|-9.924|0.0|0.22
Portobello Lass|Harry Lauder|0|Portobello, Scotland|177.6322|162.993|-22.55|0.23|nan
Trumansburg Whistle|Gershon Kingsley|1969||180.08771|130.831|-11.826|0.34|0.41
Reuben James|Kenny Rogers|1993|Houston, TX|167.00036|187.128|-14.406|0.63|nan
Rock Steady|Bad Company|1974|England|229.58975|102.984|-8.064|0.48|0.64
Sporable|Winifred Phillips|2009||141.19138|130.195|-15.835|0.33|nan
The Waiting|Zombina & The Skeletones|2006||145.3971|94.754|-6.264|0.41|0.47
Grey Skies Turn Blue|MxPx|2004|Bremerton, WA|183.97995|87.779|-3.861|0.54|0.65
Wraparound Shades (Album)|Zumpano|1995|Vancouver, BC, Canada|228.46649|159.784|-8.394|0.4|0.42
The Earth Isn't Humming|Thrice|2008|Orange, CA|349.80526|143.59|-9.454|0.52|0.81
Champion (World)|Davol|0|Colorado|264.09751|102.015|-15.991|0.34|0.0
Heart Breakin' Blues|Cannon's Jug Stompers|0||186.64444|139.606|-14.897|0.34|nan
Year Zero|30 Seconds To Mars|2002|Los Angeles, CA|472.39791|121.518|-6.736|0.68|0.82
Satisfaction|Who Made Who|2004||265.32526|132.974|-6.145|0.46|0.54
I Can't Help Myself|Tyrone Davis|0|Greenville, MS|277.41995|84.955|-9.998|0.39|0.0
Autofokus|K.I.Z.|2005||231.18322|151.488|-4.547|0.5|nan
Tango Andorra|Aimable|0||180.45342|106.953|-15.966|0.29|nan
King Jesus Is My Captain|Birmingham Jubilee Singers|0||183.27465|150.405|-18.697|0.0|nan
I've Grown Accustomed To His Face I've Grown Accustomed To His Face|Shelby Flint|0|North Hollywood, CA|121.25995|35.691|-15.276|0.36|nan
Profound Sound (Take Two Album Version)|Ill Harmonics|0||59.03628|180.415|-8.343|0.36|nan
She's My Mary|Lonnie Johnson|0|New Orleans, LA|199.44444|90.814|-13.987|0.4|nan
Livin' In a Strain|Alvin Youngblood Hart|0|Oakland, CA|231.10485|112.717|-14.039|0.35|0.5
The Little White Cloud That Cried|The Knightsbridge Strings|0||132.44036|75.064|-9.923|0.0|nan
Amor que terminó|Los Solitarios|0||179.56526|129.493|-11.163|0.3|0.0
Tell Me What I Want to Hear|The Dils|0||141.84444|163.024|-7.198|0.34|0.3
Red Sky|Thrice|2005|Orange, CA|313.7824|137.913|-9.425|0.52|nan
Symphony No. 7 in A Major_ Op. 92: I. Poco sostenuto - Vivace|Herbert von Karajan and Turin RAI Symphony Orchestra|0|Salzburg, Austria|770.35057|92.731|-18.427|0.46|nan
Above The Rainbow|Flora Purim|1994|Rio de Janeiro, Brazil|208.03873|173.649|-16.444|0.34|0.27
Strike While the Iron is Hot|Kenny Neal|0|New Orleans, LA|180.61016|107.008|-14.422|0.38|nan
Shouther to Shouther (Shoulder to Shoulder)|Harry Lauder|0|Portobello, Scotland|224.62649|101.029|-23.214|0.23|nan
Prem|Joi|0|Georgia|425.16853|120.006|-5.36|0.36|0.5
Suicide|Aceyalone|2007||170.1873|129.956|-4.149|0.46|0.22
Caribou Lou|Tech N9ne|2006|BAKERSFIELD, California|274.85995|177.942|-6.696|0.5|0.71
Day Or Night [Live Album Version]|Little Feat|0|Los Angeles, CA|330.73587|93.42|-8.163|0.48|0.3
El Vino Triste|Los Auténticos Decadentes|1991||210.02404|136.835|-9.737|0.41|0.33
Wishlist|Pearl Jam|1998|Seattle, WA|235.25832|117.946|-9.407|0.61|nan
Santa Barbara|Chaka Demus & Pliers|0|Kingston|251.97669|95.044|-7.378|0.4|0.26
Playboy|Teena Marie|1983|Santa Monica, CA|323.18649|97.396|-12.256|0.44|nan
Jugglin' Clown|Christian Quast|0||485.14567|126.914|-15.252|0.25|0.0
Things i say|Wilks|0||220.36853|174.014|-7.91|0.08|nan
Groovitation (Album Version)|Deodato|0||371.33016|110.909|-16.532|0.41|0.38
Christmas All The Time (Acoustic)|Tom Cochrane|0|Lynn Lake, Manitoba, Canada|204.14649|80.63|-11.938|0.37|0.0
Role Model|Steel Pulse|1997|Birmingham, England|262.47791|156.084|-6.53|0.5|0.32
Virtuosite Musette|Edouard Duleu|0||130.06322|230.187|-8.031|0.26|nan
Since The Last Time|ARRESTED DEVELOPMENT|2006|Atlanta, GA|218.06975|177.886|-6.25|0.42|0.61
Michelle (LP Version)|Bela Fleck And The Flecktones|0||309.91628|95.523|-15.806|0.27|nan
We´ve Only Just Begun|Bitty McLean|0|Hawaii|246.46485|181.187|-11.313|0.39|nan
Porque Nos Queremos|Los Chichos|1987||212.53179|100.232|-6.159|0.42|0.27
Obvious ( LP Version )|Jane's Addiction|1990|Los Angeles, CA|355.63057|92.729|-7.938|0.54|nan
Frei zu sein|In Extremo|2008||260.5971|146.103|-6.44|0.45|nan
Grown & Sexy|DJ Omega|0||203.31057|155.023|-10.629|0.33|nan
Grustnaja|Markscheider Kunst|0||222.64118|140.033|-7.381|0.45|0.24
Epaule tattoo (Live 1989)|Étienne Daho|0|Rennes|288.49587|132.794|-8.534|0.43|nan
Goons Lurkin (Instrumental Album Version)|Plies|2007|Fort Myers, FL|233.42975|110.933|-9.545|0.55|nan
Wolf In Sheep's Clothing|Jeff And Sheri Easter|0||170.4224|180.073|-6.15|0.39|nan
Lost Circles|React|0||158.27546|134.648|-9.68|0.25|nan
Pussy Hole|DJ Nasty|0||194.29832|149.984|-12.624|0.3|nan
El Cumbanchero|Günter Noris|1985||156.62975|124.394|-11.793|0.0|0.0
El divertido|Orquesta Sublime|0|Cuba|168.30649|101.345|-8.631|0.3|nan
Blackwood Moth|Milieu|2007|Columbia, South Carolina|371.87873|87.003|-13.08|0.36|0.4
Dreaming Of April|Out Of The Grey|1995||225.95873|87.76|-9.598|0.33|0.45
New Sensation|Snow Patrol|2009|Dundee, Scotland|214.5171|114.954|-14.309|0.67|0.48
For The Good Times|Dart|2002||340.53179|148.027|-10.008|0.21|nan
Clever Girls Like Clever Boys Much More Than Clever Boys Like Clever Girls|Pelle Carlberg|2007|Sweden|247.24853|169.994|-5.603|0.41|0.52
Never Alone|Open Hand|1999|Mass. - Boston|486.97424|86.308|-7.655|0.38|0.51
Chatterbox|Sex Pistols|2004||189.17832|152.899|-14.683|0.55|0.31
Sporco Ma Distinto|Ennio Morricone|1983|Rome, Italy|118.33424|87.153|-11.008|0.53|nan
Elle Et Moi|Koffi Olomide|0||293.27628|89.92|-8.756|0.31|nan
Columbus Stockade Blues|Charlie McCoy|1991|Jackson, MS|197.79873|113.293|-13.483|0.29|0.0
Damn That Radio [Live]|The Wreckers|2007||211.59138|152.208|-5.809|0.52|0.37
Camisa Amarela|Gal Costa|1980||171.85914|118.047|-10.874|0.44|nan
Style|Enuff Z Nuff|0|Chicago, IL|182.15138|158.795|-8.649|0.44|0.38
It's My Party|Lesley Gore|1963|New York, NY|140.2771|129.161|-7.541|0.39|nan
Keep The Circle Around|Inspiral Carpets|1999|Manchester, England|230.05995|150.226|-4.134|0.4|0.65
Wot U Say|Various Production|2008||191.99955|145.064|-8.862|0.35|nan
Xiang Zai Le Huo|Eason Chan|0||221.80526|101.37|-8.698|0.4|nan
Birth Of The Falls|Stephen Warbeck|2003||123.68934|116.259|-16.039|0.35|nan
What'll I Do For Satisfaction (LP Version)|Johnny Daye|0||176.90077|118.563|-11.323|0.25|0.2
Portraying Light With Rainbow Colored Crayon|An Cafe|0||310.12526|148.991|-4.802|0.31|nan
For Me This Is Happy|Gene Pitney|0|Hartford, CT|146.9122|79.112|-13.254|0.4|0.27
Ithaki|Peggy Zina|0||177.44934|107.55|-14.236|0.3|nan
Guilty Partner|New Order|1989|NL|288.02567|146.29|-5.729|0.52|0.7
Delilah|The Sensational Alex Harvey Band|1975||316.81261|90.689|-12.936|0.41|0.57
La Rosa (Live)|Bobby Pulido|0|Edinburg, TX|195.42159|195.109|-8.886|0.43|0.0
"Let's Call Him ""Andre"|Bruce Rowland|0|AUSTRALIA|138.762|235.318|-26.458|0.3|0.19
Our Lady Of Fatima|Kitty Kallen|0|Philadelphia, PA|165.45914|94.064|-15.555|0.32|nan
Syvä meri (Oceano)|Kari Tapio|0||161.20118|115.879|-7.069|0.28|nan
I Got A Seecret|Redman|1998|Newark, NJ|209.6322|113.312|-8.745|0.49|0.55
Reprise: Tú mi delirio - Guajira - Si te contara - El manisero|Chucho Valdés|0|Chicago, IL|375.03955|80.789|-20.259|0.51|nan
Te Miattad Változott Meg Az Életem|Belami|0||237.19138|140.077|-7.996|0.0|nan
Banda Yango|Tshala Muana|2001||390.63465|137.349|-5.252|0.33|0.39
Song For Love|Extreme|0||355.5522|146.022|-7.894|0.5|0.68
Nachts um halb drei|Janina|0|SWEDEN|189.70077|141.053|-9.318|0.34|0.46
Iron Man|Mat Maneri|0||192.15628|144.184|-17.985|0.37|nan
I Constantly Thank God For Esteban [Live In Chicago]|Panic At The Disco|0|Las Vegas, NV|253.23057|153.069|-5.205|0.6|0.43
000GrandPno|Pumpkin Buzzard|0|Missouri|45.87057|120.398|-15.272|0.24|nan
Pai Keros|Christos Dantis|0||251.08853|131.404|-12.538|0.42|nan
Tuesday Afternoon|The Moody Blues|1968|Birmingham|291.29098|115.514|-12.065|0.53|nan
As We Lay|Fiona|0|New York, NY|228.10077|66.201|-6.18|0.38|0.24
Forever You Reign (Album)|Nicole C. Mullen|0||268.43383|124.228|-4.714|0.44|0.0
Tema Da Desilusão (Garota De Ipanema)|Orquestra|1967|Rio de Janeiro, Brazil|87.58812|104.752|-13.767|0.28|0.46
Healing Power|Virgil Moorefield|1994||236.2771|123.004|-10.829|0.0|nan
The Anthem|Hatiras|2002||298.1873|131.999|-6.125|0.38|nan
Disco Trafiko|Trafik|0|Utah|265.53424|127.984|-7.811|0.41|nan
Rant Kanaria|Jope Ruonansuu|2009||211.25179|111.004|-10.321|0.42|nan
Blackwords Masking|This Moment In Black History|0|Cleveland, OH|145.8673|156.408|-4.928|0.21|0.0
Clavelitos|Joselito|0|Jaen|159.76444|96.096|-10.012|0.29|0.23
The Gift|Natalie Cole|1985|Los Angeles, CA|194.53342|115.45|-15.222|0.51|0.0
Tomorrows Girls (Live)|UK Subs|1999|UK - England - Yorkshire|122.40934|199.379|-2.952|0.43|nan
O Dikos Sou DJ|Imiskoubria|0||208.50893|97.039|-7.032|0.3|nan
Little Brother|Grizzly Bear|2006|Brooklyn, NY|384.67873|169.038|-14.199|0.55|0.88
Polly|Nirvana|0|London, England|168.51546|130.339|-14.338|0.66|nan
Ol' Frank|George Jones|0|Beaumont, Texas|168.33261|131.45|-15.467|0.46|0.0
Be Aware|SOJA|0||221.09995|102.581|-5.781|0.44|nan
The Chance|Julie Roberts|2004|Nashville, TN|287.50322|139.99|-12.517|0.42|nan
Abbeville Fair|Seatrain|1973||294.47791|107.836|-6.112|0.29|0.26
My Life Is Totally Boring Without You|Cracker|1998|Richmond VA|196.5971|107.848|-8.749|0.45|0.43
Gavel Obliterated|Chris Clark|0|Los Angeles, CA|226.11546|102.093|-7.551|0.4|0.6
Calliope|Al Di Meola|1983|Jersey City, NJ|257.30567|110.096|-16.945|0.46|0.36
Aya Benzer 2003 (Moonlight)|Mustafa Sandal / Gülcan|0||239.12444|50.499|-5.254|0.41|0.45
Fire in the Hole|The Elders|0||274.46812|151.726|-8.545|0.42|nan
So Different Blues|Mance Lipscomb|1993|Navasota, TX|181.39383|161.7|-10.173|0.33|nan
Cuantas Madres Llorando|Los Chunguitos|0||172.72118|128.176|-5.013|0.37|nan
Opening|Harald Kloser / Thomas Wander / Thomas Schobel|0||163.21261|119.787|-29.054|0.36|0.46
Lived My Life|Singing Melody|0||235.7024|162.389|-6.513|0.33|0.0
Dipset (Santana's Town) (Skit)|Juelz Santana / Freekey Zeekey / Monique Garnett|2003|New York, NY [Harlem]|79.64689|196.482|-19.771|0.53|0.38
Do You See The Light (Deep Ethno Mix)|SNAP!|1996|Germany|293.92934|131.977|-13.615|0.46|0.0
Pépètes|Java|0||304.16934|183.881|-6.997|0.36|nan
Cha Cha Cha|The Rodeo|0||176.97914|130.203|-6.317|0.28|nan
Save My Soul (Cypher UK Radio Edit)|Kristine W.|2004|Pasco, WA|235.12771|129.976|-4.499|0.41|0.25
Buenos Aires (De Tus Amores)|León Gieco|2002||302.2624|163.773|-7.657|0.36|0.21
It's Four In The Morning|Faron Young|1986|Shreveport, LA|159.79057|141.772|-23.907|0.42|nan
The Interrogation|Paul Buckmaster|0||73.50812|161.665|-24.112|0.31|0.0
Song Without End|Paul Avgerinos|2004||324.51873|91.405|-18.208|0.32|nan
Supermassive Black Hole (Album Version)|Muse|0|UK|209.34485|120.01|-3.313|0.75|0.76
Show Me (Acoustic Version)|Seal|0|Paddington, London, England|117.78567|119.772|-15.808|0.58|0.56
Background Music: The Greatest Ever Punk Sing-Along! (Live)|The Prefects|0||266.57914|104.521|-19.468|0.27|nan
Y.O.U. (Album Version)|Lonestar|0||214.12526|125.022|-3.321|0.53|0.0
6TH Avenue Nightmare|Pennywise|2005|Hermosa Beach, CA|159.89506|200.877|-5.111|0.51|nan
Cuatro Estrofas|Sandra Mihanovich|1994||263.18322|122.072|-13.328|0.36|nan
